time/ms;on
1025515;0
1026226;1
1026953;0
1027358;1
1027725;0
1028010;1
1029174;0
1029664;1
1029954;0
1030481;1
1031344;0
1032467;1
1033344;0
1033616;1
1033821;0
1034809;1
1035944;0
1036162;1
1036501;0
1037375;1
1037950;0
1038981;1
1039167;0
1039934;1
1040261;0
1041027;1
1041981;0
1042354;1
1042908;0
1043343;1
1043965;0
1044420;1
1044799;0
1045810;1
1046987;0
1048160;1
1048423;0
1048595;1
1049774;0
1050490;1
1051527;0
1052139;1
1052752;0
1053000;1
1054064;0
1055158;1
1055370;0
1056187;1
1056385;0
1057093;1
1057535;0
1057661;1
1058384;0
1058873;1
1059772;0
1060212;1
1061262;0
1062332;1
1063439;0
1064005;1
1064192;0
1064652;1
1065436;0
1066114;1
1066619;0
1067251;1
1068295;0
1069085;1
1070156;0
1071219;1
1071421;0
1072476;1
1073020;0
1073654;1
1074070;0
1074195;1
1074529;0
1075475;1
1076538;0
1076843;1
1077199;0
1077685;1
1078262;0
1078873;1
1079713;0
1080492;1
1081460;0
1081597;1
1082753;0
1083721;1
1084368;0
1084585;1
1085320;0
1085497;1
1086098;0
1087037;1
1088014;0
1088607;1
1088707;0
1089445;1
1090192;0
1090615;1
1091268;0
1091664;1
1092796;0
1093480;1
1093994;0
1094784;1
1095032;0
1095430;1
1095627;0
1096045;1
1096718;0
1097284;1
1098176;0
1098945;1
1099573;0
1100146;1
1100518;0
1101153;1
1101696;0
1102388;1
1102797;0
1103678;1
1104648;0
1105798;1
1106144;0
1107314;1
1108225;0
1109235;1
1109965;0
1111156;1
1112182;0
1112659;1
1113297;0
1113735;1
1114164;0
1114742;1
1115912;0
1116532;1
1117711;0
1118322;1
1119307;0
1119942;1
1120856;0
1121189;1
1121547;0
1122006;1
1122824;0
1123649;1
1124651;0
1124880;1
1125713;0
1126880;1
1127268;0
1127958;1
1128821;0
1129267;1
1129463;0
1129778;1
1129896;0
1130561;1
1131488;0
1132416;1
1132886;0
1133403;1
1134263;0
1135292;1
1135650;0
1135805;1
1136641;0
1137169;1
1137773;0
1138674;1
1139760;0
1139867;1
1140156;0
1140769;1
1141660;0
1141793;1
1142667;0
1143348;1
1143613;0
1143976;1
1144210;0
1144639;1
1144803;0
1145157;1
1145850;0
1146271;1
1147460;0
1148188;1
1149023;0
1149992;1
1150799;0
1151778;1
1152681;0
1153401;1
1154366;0
1154541;1
1154992;0
1155135;1
1156176;0
1157349;1
1158009;0
1158752;1
1159598;0
1159762;1
1160035;0
1160304;1
1161077;0
1161466;1
1162270;0
1163456;1
1163909;0
1164589;1
1165210;0
1165483;1
1165736;0
1166340;1
1167038;0
1168170;1
1168611;0
1169133;1
1169667;0
1170846;1
1171332;0
1172001;1
1172347;0
1173441;1
1174616;0
1175761;1
1175931;0
1176810;1
1177201;0
1177649;1
1178819;0
1179916;1
1180595;0
1181563;1
1182258;0
1183268;1
1184128;0
1184367;1
1185157;0
1185602;1
1186617;0
1187316;1
1187568;0
1187886;1
1188363;0
1189030;1
1189909;0
1190144;1
1190459;0
1191424;1
1192001;0
1192455;1
1193482;0
1194382;1
1195238;0
1196009;1
1196189;0
1196348;1
1196468;0
1196968;1
1197323;0
1198226;1
1198414;0
1199458;1
1199650;0
1200015;1
1200216;0
1200416;1
1200616;0
1200816;1
1201016;0
1201216;1
1201416;0
1201616;1
1201816;0
1205016;1
1205191;0
1205972;1
1206822;0
1207468;1
1208221;0
1208814;1
1210001;0
1210710;1
1211436;0
1212137;1
1212894;0
1213499;1
1213816;0
1214007;1
1214457;0
1215098;1
1215617;0
1216319;1
1217200;0
1217339;1
1218446;0
1218668;1
1219619;0
1220206;1
1221079;0
1222044;1
1222605;0
1223290;1
1223982;0
1224431;1
1225382;0
1225783;1
1226345;0
1227012;1
1228081;0
1229156;1
1229749;0
1229986;1
1231121;0
1232086;1
1232764;0
1233844;1
1234761;0
1235347;1
1236249;0
1236810;1
1237970;0
1238148;1
1238738;0
1239576;1
1240299;0
1241095;1
1242043;0
1243132;1
1244033;0
1245181;1
1245961;0
1246615;1
1246876;0
1247736;1
1248421;0
1249559;1
1250345;0
