time/ms;on
1022950;0
1023237;1
1024254;0
1024526;1
1025562;0
1026273;1
1027000;0
1027405;1
1027772;0
1028057;1
1029222;0
1029711;1
1030001;0
1030528;1
1031391;0
1032514;1
1033391;0
1033663;1
1033868;0
1034856;1
1035991;0
1036209;1
1036548;0
1037422;1
1037997;0
1039028;1
1039214;0
1039981;1
1040308;0
1041074;1
1042028;0
1042401;1
1042955;0
1043390;1
1044012;0
1044467;1
1044846;0
1045857;1
1047034;0
1048207;1
1048470;0
1048642;1
1049821;0
1050537;1
1051574;0
1052186;1
1052799;0
1053047;1
1054111;0
1055204;1
1055417;0
1056234;1
1056432;0
1057140;1
1057582;0
1057708;1
1058431;0
1058920;1
1059819;0
1060259;1
1061308;0
1062379;1
1063486;0
1064052;1
1064239;0
1064699;1
1065483;0
1066161;1
1066666;0
1067298;1
1068342;0
1069132;1
1070203;0
1071266;1
1071468;0
1072523;1
1073067;0
1073701;1
1074117;0
1074242;1
1074576;0
1075522;1
1076585;0
1076891;1
1077246;0
1077732;1
1078309;0
1078920;1
1079760;0
1080539;1
1081507;0
1081644;1
1082800;0
1083768;1
1084415;0
1084632;1
1085367;0
1085544;1
1086145;0
1087084;1
1088061;0
1088654;1
1088754;0
1089492;1
1090239;0
1090662;1
1091315;0
1091711;1
1092843;0
1093527;1
1094041;0
1094831;1
1095079;0
1095477;1
1095674;0
1096092;1
1096765;0
1097331;1
1098223;0
1098992;1
1099620;0
1100193;1
1100565;0
1101200;1
1101743;0
1102435;1
1102844;0
1103726;1
1104695;0
1105845;1
1106191;0
1107361;1
1108272;0
1109282;1
1110012;0
1111203;1
1112229;0
1112706;1
1113344;0
1113782;1
1114211;0
1114789;1
1115959;0
1116579;1
1117758;0
1118369;1
1119354;0
1119989;1
1120903;0
1121236;1
1121594;0
1122053;1
1122871;0
1123696;1
1124698;0
1124927;1
1125760;0
1126927;1
1127315;0
1128004;1
1128868;0
1129314;1
1129510;0
1129825;1
1129943;0
1130608;1
1131535;0
1132463;1
1132932;0
1133450;1
1134310;0
1135339;1
1135697;0
1135852;1
1136688;0
1137216;1
1137820;0
1138721;1
1139807;0
1139913;1
1140203;0
1140816;1
1141707;0
1141840;1
1142714;0
1143395;1
1143660;0
1144023;1
1144257;0
1144686;1
1144850;0
1145204;1
1145897;0
1146318;1
1147507;0
1148235;1
1149070;0
1150039;1
1150846;0
1151825;1
1152728;0
1153448;1
1154413;0
1154588;1
1155039;0
1155182;1
1156267;0
1157396;1
1158056;0
1158799;1
1159646;0
1159809;1
1160081;0
1160351;1
1161124;0
1161513;1
1162317;0
1163503;1
1163956;0
1164636;1
1165257;0
1165531;1
1165783;0
1166387;1
1167085;0
1168217;1
1168658;0
1169180;1
1169713;0
1170893;1
1171379;0
1172048;1
1172394;0
1173488;1
1174663;0
1175808;1
1175978;0
1176857;1
1177248;0
1177696;1
1178866;0
1179963;1
1180642;0
1181610;1
1182305;0
1183315;1
1184175;0
1184414;1
1185204;0
1185649;1
1186664;0
1187363;1
1187615;0
1187933;1
1188410;0
1189076;1
1189956;0
1190191;1
1190507;0
1191471;1
1192048;0
1192502;1
1193529;0
1194429;1
1195286;0
1196056;1
1196236;0
1196395;1
1196515;0
1197015;1
1197370;0
1198273;1
1198461;0
1199505;1
1199697;0
1200014;1
1200215;0
1200415;1
1200615;0
1200815;1
1201015;0
1201215;1
1201415;0
1201615;1
1201815;0
1205015;1
1205190;0
1205971;1
1206821;0
1207467;1
1208220;0
1208813;1
1210000;0
1210708;1
1211435;0
1212136;1
1212893;0
1213498;1
1213815;0
1214006;1
1214456;0
1215097;1
1215616;0
1216318;1
1217199;0
1217338;1
1218445;0
1218667;1
1219618;0
1220205;1
1221078;0
1222043;1
1222604;0
1223289;1
1223981;0
1224430;1
1225382;0
1225782;1
1226344;0
1227011;1
1228080;0
1229155;1
1229748;0
1229985;1
1231120;0
1232084;1
1232763;0
1233843;1
1234760;0
1235346;1
1236248;0
1236809;1
1237969;0
1238147;1
1238737;0
1239575;1
1240297;0
1241094;1
1242042;0
1243131;1
1244032;0
1245180;1
1245960;0
1246614;1
1246875;0
1247735;1
1248420;0
1249558;1
1250344;0
1250929;1
1252046;0
1252790;1
1253485;0
1254611;1
1255763;0
1256133;1
1257183;0
1258353;1
1259452;0
1260446;1
1261426;0
1261681;1
1261891;0
1262884;1
1263858;0
1264160;1
1264801;0
1265284;1
1265646;0
1265998;1
1266900;0
1268029;1
1268887;0
1269758;1
1269996;0
1270172;1
1270610;0
1271652;1
1272103;0
1272640;1
1273818;0
1274556;1
1275406;0
1276208;1
1277272;0
1278413;1
1278681;0
1279219;1
1279713;0
1279915;1
1280343;0
1281316;1
1282267;0
1282758;1
1283757;0
1284683;1
1285539;0
1286213;1
1287327;0
1287595;1
1288762;0
1289847;1
1290960;0
1291853;1
1292220;0
1292678;1
1293490;0
1293829;1
1294595;0
1295674;1
1295945;0
1296795;1
1297624;0
1298670;1
1299163;0
1299904;1
1300839;0
1301988;1
1302649;0
1303742;1
1304619;0
1304797;1
1305808;0
1306532;1
1306892;0
1307374;1
1307906;0
1308965;1
1309687;0
1310003;1
1310143;0
1310675;1
1311043;0
1311927;1
1313030;0
1313174;1
1313705;0
1314834;1
1315184;0
1316212;1
1316564;0
1317265;1
1318398;0
1319117;1
1319839;0
1320606;1
1320854;0
1321843;1
1322564;0
1323418;1
1324067;0
1324839;1
1325507;0
1325763;1
1326477;0
1326907;1
1328038;0
1328682;1
1328817;0
1329988;1
1331169;0
1331434;1
1332571;0
1333299;1
1333884;0
1334903;1
1336091;0
1336381;1
1336727;0
1337158;1
1337936;0
1338976;1
1339212;0
1339474;1
1339965;0
1340375;1
1341388;0
1342165;1
1342452;0
1343422;1
1344573;0
1345619;1
1345745;0
1346009;1
1346779;0
1347357;1
1348087;0
1348364;1
1348625;0
1349787;1
1350773;0
1351631;1
1352791;0
1352987;1
1353615;0
1354211;1
1354601;0
1354925;1
1356120;0
1356243;1
1357324;0
1357484;1
1358209;0
1358885;1
1359419;0
1359614;1
1360754;0
1361289;1
1362448;0
1362799;1
1363574;0
1364558;1
1365396;0
1365922;1
1366633;0
1367532;1
1368475;0
1368988;1
1369544;0
1370174;1
1370652;0
1371641;1
1372147;0
1372316;1
1373017;0
1373744;1
1373986;0
1374153;1
1375118;0
1375594;1
1376318;0
1377436;1
1377751;0
1378375;1
1379113;0
1379387;1
1380067;0
1380837;1
1381425;0
1382351;1
1382539;0
1383663;1
1384476;0
1385482;1
1386361;0
1386779;1
1387528;0
1387753;1
1388069;0
1388548;1
1389100;0
1389252;1
1389939;0
1391016;1
1392162;0
1392443;1
1393165;0
1393964;1
1394755;0
1395629;1
1395827;0
1396132;1
1396370;0
1397558;1
1398378;0
1399506;1
1400587;0
1400770;1
1400873;0
1401231;1
1401369;0
1402433;1
1402905;0
1404046;1
1404453;0
1404736;1
1405531;0
1405969;1
1406643;0
1407208;1
1407755;0
1408592;1
1409681;0
1410294;1
1410857;0
1411022;1
1412203;0
1412658;1
1413564;0
1414195;1
1414966;0
1415608;1
1416174;0
1417032;1
1418200;0
1418877;1
1419053;0
